"Monthly Climate Statistics for 'MAYDENA POST OFFICE' [095063]"
"Created on [ 05 Oct 2011 17:06:58 GMT+00:00]"

"095063 MAYDENA POST OFFICE"
"Commenced: 1992"
"Last Record: 2011"
"Latitude:   42.76 Degrees South"
"Longitude:  146.62 Degrees East"
"Elevation:     281 m"
"State: TAS"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean number of days of rain for years 1800 to 3000 ",12.8,11.2,15.6,16.7,20.4,20.1,23.2,23.8,22.1,19.9,14.8,15.7,216.3,19,1992,2011
"Mean number of days of rain >= 1 mm for years 1992 to 2011 ",9.4,8.3,10.8,11.9,13.0,13.0,15.4,16.9,17.0,16.1,11.4,12.4,155.6,19,1992,2011
"Mean number of days of rain >= 10 mm for years 1992 to 2011 ",1.9,2.1,1.9,2.7,2.9,3.2,3.7,5.0,5.3,4.1,3.0,2.7,38.5,19,1992,2011
"Mean number of days of rain >= 25 mm for years 1992 to 2011 ",0.2,0.5,0.3,0.3,0.5,0.5,0.5,0.8,0.7,0.3,0.3,0.4,5.3,19,1992,2011
"Mean daily wind run (km) for years null to null ", , , , , , , , , , , , , ,, , 
"Maximum wind gust speed (km/h) for years null to null ", , , , , , , , , , , , , ,, , 
"Date of Maximum wind gust speed for years null to null ", , , , , , , , , , , , , ,N/A, , 
"Mean daily sunshine (hours) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2011 ",22.7,19.4,14.1,9.1,6.0,4.6,5.1,7.8,12.2,17.1,20.8,22.5,13.5,22,1990,2011
"Mean number of clear days for years 1992 to 2010 ",3.9,3.2,2.4,0.9,0.7,0.7,0.3,1.2,1.2,1.7,1.9,2.3,20.4,18,1992,2010
"Mean number of cloudy days for years 1992 to 2010 ",10.8,10.1,12.8,12.2,14.1,14.5,15.3,13.8,12.1,12.4,11.5,11.8,151.4,18,1992,2010
"Mean daily evaporation (mm) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean 9am temperature (Degrees C) for years 1992 to 2010 ",13.4,12.6,10.3,9.0,7.2,5.0,4.7,5.6,7.5,8.6,10.8,12.2,8.9,18,1992,2010
"Mean 9am wet bulb temperature (Degrees C) for years 1992 to 2010 ",11.4,11.1,9.3,8.0,6.5,4.5,4.3,4.8,6.3,7.3,8.9,10.2,7.7,18,1992,2010
"Mean 9am dew point temperature (Degrees C) for years 1992 to 2010 ",9.5,9.8,8.3,7.0,5.7,3.9,3.6,3.9,4.9,5.8,6.9,8.2,6.5,18,1992,2010
"Mean 9am relative humidity (%) for years 1992 to 2010 ",78,84,88,88,91,93,93,89,84,83,78,77,86,18,1992,2010
"Mean 9am cloud cover (okas) for years 1992 to 2010 ",5.2,5.4,5.9,6.2,6.4,6.4,6.6,6.2,5.9,5.8,5.8,5.6,5.9,18,1992,2010
"Mean 9am wind speed (km/h) for years 1992 to 2010 ",5.7,4.0,4.0,3.8,4.7,3.5,3.3,5.0,6.3,5.4,5.7,5.9,4.8,17,1992,2010
"Mean 3pm temperature (Degrees C) for years 1992 to 2010 ",20.2,20.7,17.9,14.1,11.4,9.1,9.1,10.3,11.6,13.9,16.3,17.9,14.4,18,1992,2010
"Mean 3pm wet bulb temperature (Degrees C) for years 1992 to 2010 ",14.5,15.0,13.5,11.0,9.3,7.6,7.3,7.8,8.5,10.0,11.7,13.2,10.8,18,1992,2010
"Mean 3pm dew point temperature (Degrees C) for years 1992 to 2010 ",9.8,10.4,9.6,8.1,7.0,5.9,5.3,4.9,5.0,5.9,7.4,9.0,7.4,18,1992,2010
"Mean 3pm relative humidity (%) for years 1992 to 2010 ",55,55,61,69,75,81,78,71,66,61,59,59,66,18,1992,2010
"Mean 3pm cloud cover (oktas) for years 1992 to 2010 ",4.8,4.6,4.8,5.4,5.9,5.9,5.8,5.5,5.4,5.6,5.1,5.3,5.3,18,1992,2010
"Mean 3pm wind speed (km/h) for years 1992 to 2010 ",9.9,8.2,7.9,6.6,6.0,4.6,5.7,7.1,8.8,9.4,8.8,9.4,7.7,14,1992,2010
