"Monthly Climate Statistics for 'OUSE FIRE STATION' [095048]"
"Created on [ 05 Oct 2011 17:54:27 GMT+00:00]"

"095048 OUSE FIRE STATION"
"Commenced: 1973"
"Last Record: 2011"
"Latitude:   42.48 Degrees South"
"Longitude:  146.71 Degrees East"
"Elevation:      90 m"
"State: TAS"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean rainfall (mm) for years 1998 to 2011 ",26.6,32.8,29.3,30.7,29.2,45.2,47.6,63.4,73.4,53.1,40.7,35.1,515.0,13,1998,2011
"Highest rainfall (mm) for years 1998 to 2011 ",68.0,88.0,60.8,54.0,64.2,108.2,78.2,142.8,135.8,106.2,67.6,85.8,727.2,13,1998,2011
"Date of Highest rainfall for years 1998 to 2011 ",2004,1999,2009,2005,2004,2004,2004,2009,2003,2005,2008,2005,2004,N/A,1998,2011
"Lowest rainfall (mm) for years 1998 to 2011 ",2.6,2.2,6.0,4.0,9.6,5.0,10.0,16.4,29.0,8.4,1.6,14.0,339.0,13,1998,2011
"Date of Lowest rainfall for years 1998 to 2011 ",2010,2003,2005,2002,2011,2007,1998,1998,1999,2008,2003,2004,2006,N/A,1998,2011
"Decile 1 monthly rainfall (mm) for years 1998 to 2011 ",4.4,3.7,13.7,6.2,9.7,5.3,12.8,20.4,41.4,25.6,7.9,14.0,413.9,13,1998,2011
"Decile 5 (median) monthly rainfall (mm) for years 1998 to 2011 ",24.2,28.4,25.8,27.6,29.2,40.8,55.4,55.1,64.3,48.8,44.8,29.0,511.9,13,1998,2011
"Decile 9 monthly rainfall (mm) for years 1998 to 2011 ",55.7,60.5,52.4,53.4,43.6,97.0,75.1,112.4,124.1,87.3,60.6,55.5,602.9,13,1998,2011
"Highest daily rainfall (mm) for years 1998 to 2011 ",35.2,35.0,29.4,25.6,18.0,30.0,19.0,48.0,28.0,38.0,25.2,45.0,48.0,13,1998,2011
"Date of Highest daily rainfall for years 1998 to 2011 ",06 Jan  2007,07 Feb  1999,07 Mar  2004,13 Apr  2003,16 May  2009,29 Jun  2004,24 Jul  2000,10 Aug  2007,06 Sep  2000,12 Oct  2001,29 Nov  2009,27 Dec  1998,10 Aug  2007,N/A,1998,2011
"Mean number of days of rain for years 1800 to 3000 ",8.5,8.0,9.4,10.1,12.6,14.5,16.1,16.4,16.5,16.3,12.0,11.4,151.8,13,1998,2011
"Mean number of days of rain >= 1 mm for years 1998 to 2011 ",4.4,4.4,5.6,6.1,5.5,7.2,7.9,9.6,10.2,10.0,6.3,5.7,82.9,13,1998,2011
"Mean number of days of rain >= 10 mm for years 1998 to 2011 ",0.7,1.1,0.5,0.6,0.7,1.4,1.4,1.7,2.4,1.2,1.3,0.7,13.7,13,1998,2011
"Mean number of days of rain >= 25 mm for years 1998 to 2011 ",0.1,0.2,0.1,0.1,0.0,0.2,0.0,0.3,0.1,0.2,0.2,0.2, ,13,1998,2011
"Mean daily wind run (km) for years 2003 to 2011 ", , , , , , , , , , , , , ,8,2003,2011
"Maximum wind gust speed (km/h) for years 2003 to 2011 ", , , , , , , , , , , , , ,8,2003,2011
"Date of Maximum wind gust speed for years 2003 to 2011 ", , , , , , , , , , , , , ,N/A,2003,2011
"Mean daily sunshine (hours) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2011 ",24.9,21.1,16.0,10.4,6.9,5.3,5.9,8.8,13.4,18.7,22.7,25.3,15.0,22,1990,2011
"Mean number of clear days for years null to null ", , , , , , , , , , , , , ,, , 
"Mean number of cloudy days for years null to null ", , , , , , , , , , , , , ,, , 
"Mean daily evaporation (mm) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean 9am temperature (Degrees C) for years 1998 to 2010 ",16.1,14.9,12.6,10.0,8.0,4.6,4.4,6.2,9.3,10.7,13.2,15.0,10.4,12,1998,2010
"Mean 9am wet bulb temperature (Degrees C) for years 1998 to 2010 ", , , , , , , , , , , , , ,9,1998,2010
"Mean 9am dew point temperature (Degrees C) for years 1998 to 2010 ",9.0,9.5,8.5,6.8,5.3,3.1,2.9,3.7,5.1,6.1,7.6,7.9,6.3,12,1998,2010
"Mean 9am relative humidity (%) for years 1998 to 2010 ",64,71,77,82,85,91,91,85,76,74,70,63,77,12,1998,2010
"Mean 9am cloud cover (okas) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean 9am wind speed (km/h) for years 1998 to 2010 ",10.7,8.1,7.3,6.9,7.4,6.2,6.2,7.9,10.8,11.2,10.1,12.2,8.8,12,1998,2010
"Mean 3pm temperature (Degrees C) for years 1998 to 2010 ",23.5,23.4,20.7,16.7,13.6,10.6,10.6,12.3,14.1,16.0,19.4,21.1,16.8,12,1998,2010
"Mean 3pm wet bulb temperature (Degrees C) for years 1998 to 2010 ", , , , , , , , , , , , , ,9,1998,2010
"Mean 3pm dew point temperature (Degrees C) for years 1998 to 2010 ",7.5,8.4,8.3,7.2,6.3,5.3,4.8,4.7,5.2,6.3,7.6,7.0,6.6,12,1998,2010
"Mean 3pm relative humidity (%) for years 1998 to 2010 ",39,41,47,55,63,71,68,61,57,54,49,43,54,12,1998,2010
"Mean 3pm cloud cover (oktas) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean 3pm wind speed (km/h) for years 1998 to 2010 ",18.4,16.4,16.2,13.6,12.9,10.3,10.9,14.5,17.4,17.8,16.5,19.3,15.4,12,1998,2010
