"Monthly Climate Statistics for 'BUSHY PARK (BUSHY PARK ESTATES)' [095003]"
"Created on [ 05 Oct 2011 14:13:03 GMT+00:00]"

"095003 BUSHY PARK (BUSHY PARK ESTATES)"
"Commenced: 1874"
"Last Record: 2011"
"Latitude:   42.71 Degrees South"
"Longitude:  146.90 Degrees East"
"Elevation:      27 m"
"State: TAS"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean number of days <= 2 Degrees C for years 1957 to 2011 ",0.1,0.2,1.1,4.2,9.7,15.9,19.3,15.1,8.3,4.2,1.3,0.4,79.8,50,1957,2011
"Mean number of days <= 0 Degrees C for years 1957 to 2011 ",0.0,0.0,0.2,1.2,4.5,9.5,11.0,8.0,3.3,1.1,0.2,0.0,39.0,50,1957,2011
"Mean daily ground minimum temperature Degrees C for years 1943 to 2004 ",7.7,7.6,5.9,3.9,1.9,0.3,-0.3,0.4,2.0,3.8,5.4,6.8,3.8,56,1943,2004
"Lowest ground temperature Degrees C for years 1957 to 2004 ",-7.4,-6.3,-6.1,-10.9,-11.1,-11.2,-10.5,-11.1,-8.4,-8.1,-5.2,-4.4,-11.2,43,1957,2004
"Date of Lowest ground temperature  for years 1957 to 2004 ",25 Jan  1967,28 Feb  1967,15 Mar  1964,07 Apr  1965,14 May  1963,09 Jun  1963,20 Jul  1968,01 Aug  1965,03 Sep  1965,05 Oct  1965,15 Nov  1997,12 Dec  1995,09 Jun  1963,N/A,1957,2004
"Mean number of days ground min. temp. <= -1 Degrees C for years 1957 to 2004 ",0.7,0.7,1.7,4.3,8.2,11.9,13.8,11.2,5.7,2.9,1.7,1.1,63.9,43,1957,2004
"Mean rainfall (mm) for years 1874 to 2011 ",41.0,35.2,39.2,46.6,45.1,48.6,49.5,54.0,54.2,57.3,52.9,50.6,574.1,138,1874,2011
"Highest rainfall (mm) for years 1874 to 2011 ",125.0,130.0,138.7,156.7,200.8,176.1,147.5,150.9,153.4,182.2,140.5,195.1,878.7,138,1874,2011
"Date of Highest rainfall for years 1874 to 2011 ",1884,1999,1931,1960,1958,1952,1974,1880,1980,1988,1885,1916,1975,N/A,1874,2011
"Lowest rainfall (mm) for years 1874 to 2011 ",3.6,1.7,6.2,1.0,2.1,3.2,6.2,7.8,7.9,11.6,4.0,1.5,352.8,138,1874,2011
"Date of Lowest rainfall for years 1874 to 2011 ",2008,1936,2006,1923,1934,1930,1932,1957,1892,2008,2003,1931,2006,N/A,1874,2011
"Decile 1 monthly rainfall (mm) for years 1874 to 2011 ",13.1,10.6,13.6,17.9,15.1,18.8,20.4,21.9,22.4,26.5,20.9,18.6,453.5,106,1874,2011
"Decile 5 (median) monthly rainfall (mm) for years 1874 to 2011 ",36.0,30.5,33.6,42.8,38.1,43.0,42.4,47.3,48.8,52.9,49.0,44.2,575.9,106,1874,2011
"Decile 9 monthly rainfall (mm) for years 1874 to 2011 ",76.4,67.5,70.5,76.1,86.1,81.3,91.3,95.9,92.6,93.4,87.6,87.0,686.9,106,1874,2011
"Highest daily rainfall (mm) for years 1889 to 2011 ",60.0,71.9,51.6,66.0,37.6,44.4,39.9,39.0,29.2,41.7,34.3,56.0,71.9,106,1889,2011
"Date of Highest daily rainfall for years 1889 to 2011 ",22 Jan  1997,05 Feb  1938,26 Mar  1946,23 Apr  1960,03 May  1973,09 Jun  1983,18 Jul  1922,25 Aug  2003,21 Sep  1923,12 Oct  1923,08 Nov  1924,27 Dec  1998,05 Feb  1938,N/A,1889,2011
"Mean number of days of rain for years 1800 to 3000 ",9.4,8.1,9.9,11.6,13.3,13.5,14.9,15.7,15.4,15.7,13.2,11.8,152.5,106,1874,2011
"Mean number of days of rain >= 1 mm for years 1889 to 2011 ",4.8,4.3,5.0,5.9,6.6,6.7,7.7,8.4,8.1,8.4,7.3,6.2,79.4,106,1889,2011
"Mean number of days of rain >= 10 mm for years 1889 to 2011 ",0.9,0.8,0.8,1.0,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.1,11.0,106,1889,2011
"Mean number of days of rain >= 25 mm for years 1889 to 2011 ",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.2,1.0,106,1889,2011
"Mean daily wind run (km) for years 1998 to 2011 ",298,311,242,202,193,169,178,225,278,278,277,306,246,13,1998,2011
"Maximum wind gust speed (km/h) for years 1998 to 2011 ",98,135,117,154,97,94,97,97,100,102,97,93,154,13,1998,2011
"Date of Maximum wind gust speed for years 1998 to 2011 ",10 Jan  1999,27 Feb  2004,19 Mar  2004,02 Apr  2004,19 May  2000,30 Jun  2008,01 Jul  2004,22 Aug  1998,27 Sep  2006,17 Oct  1998,15 Nov  2003,22 Dec  2008,02 Apr  2004,N/A,1998,2011
"Mean daily sunshine (hours) for years 1957 to 1963 ", , , , , , , , , , , , , ,2,1957,1963
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2011 ",24.3,20.7,15.7,10.0,6.7,5.1,5.7,8.7,13.2,18.2,22.2,24.4,14.6,22,1990,2011
"Mean number of clear days for years 1957 to 2010 ",5.3,5.1,4.3,2.5,1.6,1.4,1.4,2.2,2.1,3.0,3.1,3.2,35.2,47,1957,2010
"Mean number of cloudy days for years 1957 to 2010 ",12.6,10.0,12.2,14.1,16.2,15.9,17.3,15.3,14.3,13.7,13.6,13.5,168.7,47,1957,2010
"Mean daily evaporation (mm) for years 1988 to 2011 ",5.1,4.4,3.0,1.7,1.0,0.6,0.7,1.2,1.9,2.9,3.9,4.7,2.6,23,1988,2011
"Mean 9am temperature (Degrees C) for years 1931 to 2010 ",15.7,15.0,13.2,10.5,7.4,4.8,4.3,5.9,8.9,11.4,13.3,15.0,10.5,73,1931,2010
"Mean 9am wet bulb temperature (Degrees C) for years 1931 to 2010 ",12.4,12.2,11.0,8.9,6.4,4.1,3.6,4.9,7.1,9.0,10.4,11.7,8.5,72,1931,2010
"Mean 9am dew point temperature (Degrees C) for years 1957 to 2010 ",9.4,9.8,8.8,7.2,5.3,3.3,3.1,3.4,4.9,6.1,7.3,8.0,6.4,25,1957,2010
"Mean 9am relative humidity (%) for years 1931 to 2010 ",65,71,77,81,86,90,89,85,77,72,67,63,77,51,1931,2010
"Mean 9am cloud cover (okas) for years 1931 to 2010 ",4.8,4.7,5.1,5.4,6.0,5.9,5.9,5.5,5.3,5.3,5.2,5.1,5.3,73,1931,2010
"Mean 9am wind speed (km/h) for years 1957 to 2010 ",8.3,6.2,5.4,5.8,4.6,3.8,3.8,4.8,7.8,8.6,8.7,9.4,6.4,46,1957,2010
"Mean 3pm temperature (Degrees C) for years 1951 to 2010 ",22.1,22.2,19.8,16.3,12.8,9.9,9.8,11.7,13.7,15.8,17.9,19.9,16.0,53,1951,2010
"Mean 3pm wet bulb temperature (Degrees C) for years 1951 to 2010 ",15.0,15.2,13.8,11.9,9.8,7.6,7.4,8.4,9.7,11.0,12.4,13.8,11.3,51,1951,2010
"Mean 3pm dew point temperature (Degrees C) for years 1957 to 2010 ",8.4,9.0,8.4,7.3,6.2,5.2,4.7,4.2,4.6,5.7,7.0,7.2,6.5,25,1957,2010
"Mean 3pm relative humidity (%) for years 1951 to 2010 ",43,46,49,57,65,72,70,61,55,53,51,45,56,31,1951,2010
"Mean 3pm cloud cover (oktas) for years 1951 to 2010 ",4.4,4.2,4.5,5.1,5.3,5.5,5.4,5.3,5.2,5.1,5.0,4.9,5.0,53,1951,2010
"Mean 3pm wind speed (km/h) for years 1957 to 2010 ",16.4,15.3,13.4,11.5,9.0,6.9,8.3,11.2,14.7,16.0,16.4,17.0,13.0,46,1957,2010
